country_name,year,wealth_quintile_label,mean_value,se_value,lower_ci,upper_ci,n,variable,variable_label,scale_labels,category
Argentina,2011,Poorest,3.171689498,0.02293399903,3.12673886,3.216640136,2190,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2011,Second,3.687749288,0.02336769383,3.641948608,3.733549968,1755,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2011,Middle,3.950471698,0.02124773979,3.908826128,3.992117268,1696,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2011,Fourth,4.207582349,0.02121680248,4.165997416,4.249167282,1609,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2011,Richest,4.597184987,0.01736634039,4.563146959,4.631223014,1492,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2019,Poorest,3.333530806,0.01310718099,3.307840731,3.35922088,1688,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2019,Second,3.641065831,0.01827942584,3.605238156,3.676893505,1276,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2019,Middle,3.71301536,0.01929336637,3.675200362,3.750830358,1237,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2019,Fourth,3.998013903,0.02190295113,3.955084118,4.040943687,1007,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Argentina,2019,Richest,4.300529101,0.02202248485,4.25736503,4.343693171,945,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
Barbados,2012,Poorest,3.913043478,0.04275558016,3.829242541,3.996844415,92,edlevelmom_recoded,Highest level of school attended by mother/caretaker,"Less than primary = 1, Primary = 2, Lower secondary = 3, Secondary = 4, Higher Education/University = 5",Parental & Household Background
